name,active,comment,info_link,portrait_link
"HALL, Edwin Cuthbert, Dr",1874-1953,"Medical officer, eucalyptologist",,
"HALL, Mrs",fl. 1890-91,"Collected for Mueller in New England, NSW",,
"HALL, Norman*",1906-2005,"Forest botanist, author, biographer, Canberra",notes,portrait
"HALLAM, Neil Douglas, Dr*",1939-,"Botanist, agronomist",,
"HALLETT, Ruth",fl.1980s,"Horticulturist, Aust National Botanic Gardens, ACT",,
"HALLIWELL, Brian*",1929-,Horticulturist,,
"HALTZ, M.",fl. 1890s,,,
"HAMILTON, Alexander Greenlaw",1852-1941,"Teacher, naturalist",,
"HAMILTON, Annie Rose Scott (later Mrs Cowen)",1879-1971,Collected for Mueller in Qld,notes,
"HAMILTON, Arthur Andrew",1855-1929,"Botanist, herbarium assistant",,portrait
"HAMILTON, Augustus",1854-1913,"Schoolmaster, scientist",,
"HAMILTON, Charles Donald",fl. 1948,"Forester, dendrologist",,
"HAMMERSLEY, Brenda",1929-2004,"Paediatrician, botanist, bryologist, WA",notes,
"HAMMET, Ivo",1895-1975,Naturalist,,
"HAMMOND, Camilla",fl. 1880s,"Botanical artist, SA",notes,
"HANCE, Henry Fletcher",1827-1886,"Botanist, author, eastern Asia (not Aust.)",notes,portrait
"HANCOCK, F.",,,,
"HANCOCK, Mary Constance",1923-2013,"Amateur botanical collector, photographer, Aust.",notes,portrait
"HANDO, Valerie Maude (nee RALPH)",1926–2014,"Author of wildflower books, Chinchilla, Qld.",notes,
"HANGAR, D.S.",,,,
"HANN, Frank H.",1846-1921,"Pioneer, explorer",,
"HANN, William",1837-1889,Explorer,,
"HANNAFORD, Samuel",1828-1874,"Editor, writer, librarian botanist",notes,portrait
"HANNELLY, J.D.F.",fl. 1950-60s,Palynologist,,
"HANSFORD, Clifford Gerald",1900-1966,mycologist,,
"HANSON, Albert (""Bert"") George",1919–2005,Forester,,
"HARDEN, G.S.",,,,
"HARDEN, Gwenneth Jean, Mrs",1940-,Botanist,,
"HARDEN, Robert (Bob)",fl. 1970s,National Parks Wildlife Research officer,,
"HARDIMAN, John Joseph",1855-1932,Forestry officer,notes,
"HARDY, Alfred Douglas",1870-1958,"Draughtsman, naturalist, phycologist",,
"HARDY, John",1834-1916,Surveyor,,
"HARDY, W.D.",fl. 1940-50s,,,
"HARGREAVES, Edward Roy",1911 - 2003,"Curator and conservationist, esp orchids",notes,portrait
"HARMAN, C.W.",fl. 1960s,Botanist,,
"HARPER, Charles",1842-1912,"Agriculturalist, legislator, nurseryman",notes,
"HARPER, Clara Julia (later Mrs ROBERTSON)",1881-1969,Collected for Mueller in WA,notes,
"HARPER, Miss",fl.1896,"Collected for Mueller in WA, probably Clara Julia",,
"HARRIS, Charles",,,,
"HARRIS, George Prideaux Robert",1775-1810,Farmer,,
"HARRIS, Julia Susanna, Mrs, (nee WELLS)",1842-,,,
"HARRIS, Thistle Y., see STEAD",,,,portrait
"HARRIS, Wayne K., Dr",,Palynologist,,
"HARRISON, Amy Livingstone, Mrs, (nee STIRLING )",1880-1947,"Naturalist, teacher, governess",,
"HARRISON, Joseph Evans",1874-1935,Internatonal trader,notes,
"HARROLD, Arthur George, Dr",1918-2012,"Medical practitioner, conservationist",notes,portrait
"HARROP, Edward Davy",1828-1891,Botanist,,
"HARSLETT, J.",,,,
"HART, J.",fl. 1800s,"Botanical artist, Britain, probably never in Australia",,
"HART, M.",fl. 1820-30s,"British botanical magazine artist, designer",notes,
"HART, Thomas Stephen",1871-1960,"Headmaster, naturalist, botanist",notes,
"HARTINGER, Anton",1806-1890,"Botanical artist, lithographer, Vienna (not Aust.)",notes,portrait
"HARTLEY, Thomas Gordon*",1931-2016,"Botanist, CSIRO Research Scientist, USA, ACT",notes,portrait
"HARTLEY, William",fl. 1910-1980,Plant introduction officer CSIR PI 1930s-40s,,
"HARTMANN [HARTMAN], Carl Heinrich",1833-1887,"Lichen collector, nurseryman, Qld",notes,
"HARTOG, C. den, Prof.",,Botanist,,
"HARTWIG, Marion",c.1982,"Botanist, phycologist",,portrait
"HARVEY, Norton",fl. 1970s,,,
"HARVEY, R.B.",fl. 1896,,,
"HARVEY, William Henry, Prof.",1811-1866,"Botanist, phycologist, illustrator",notes,portrait
"HARWOOD, George",1842-1915,Landscape gardener,,
"HASSALL, D.C., Dr",fl.1970-2000,"Botanist, cytologist, Univ Queensland",,
"HASSELL, Albert Young",1841-1918,Collected for Mueller in WA,,
"HAVEL, Jaroslav Joseph",1930-,"Forest botanist, ecologist",,
"HAVELL, Robert",1793-1878,"Aquatint engraver, artist, England, USA",notes,
"HAVILAND, Edwin",1823-1908,"Businessman,  plant physiologist, NSW",notes,portrait
"HAVILAND, Francis Ernest,",1859-1945,"Anglican clergyman, Archdeacon",,
"HAWKER, George Charles, Hon.",1818-1895,"Politician, grazier",,
"HAWKESWOOD, Trevo",1956-,Botanist,,
"HAWKSWORTH, David Leslie*",1946-,"Lichen collector, mycologist",,
"HAWSON-CLARKE, Miss",fl. 1950s,"Botanist, illustrator",,
"HAY, Alistair",fl. 1990s,"Horticultural botanist, Gardens Director, Aroid systematist",,portrait
"HAY, J.C.D.",fl. 1906/1911,Forest Guard in NSW,,
"HAYDON, Elizabeth J. (nee CARROLL)",- 2007,"Botanist, Canberra CBG Herbarium",,portrait
"HAYES, Anne",fl. 2010-,"Botanical artist, illustrator, Qld",notes,portrait
"HAYES, H.C.",fl. 1940s,,,
"HAYES, W.J.",fl. 1950s-60s,,,
"HAZARD, H.",,,,
"HEAL, Alice, Mrs, nee EATON",1870-1932,,,
"HEAL, Martha, Mrs, nee RATON",,,,
"HEALY, Carol Anne, Mrs",1947-,Artist,,
"HEATWOLE, Harold",fl. 1960s,,,
"HEBERLE, Ron",1913-,"Fisherman, orchid collector, photographer",notes,
"HEDDLE, E.M., see MATTLSKE",,,,
"HEDLEY, Charles",1862-1926,"Museum worker, naturalist, Qld, NSW",notes,
"HEDLEY, Miss",fl.1891,Collected for Mueller in Vic.,,
HEINZMANN,fl. 1872,,,
"HELBY, Robin",fl. 1970-85,Palnologist,,
"HELLWIG, Frans Carl",1861-1889,,,
"HELMICH, Martha (nee CRISP)",1822-1904,Collected for Mueller in WA,notes,
"HELMS, Richard",1842-1914,"Museum zoologist, botanist, bacteriologist, NSW, Vic, WA, NZ",notes,portrait
"HELMS, Sabine(Mrs Rudolph Helms)",1866-1929,"Plant collector and botanical artist, Qld",notes,portrait
"HELY, F.W.",fl. 1949,,,
"HENDERSON, D.L.W.",fl. 1940s,,,
"HENDERSON, Euphemia Ethel Elizabeth Spencer Middleton, Miss",1822-1907,"Flower painter, collected for Mueller in Vic.",notes,portrait
"HENDERSON, G.",fl. 1940s,,,
"HENDERSON, J.A.",fl. 1867-69,,,
"HENDERSON, Rodney John Francis*",1938-,"Herbarium botanist, Qld.",notes,portrait
"HENLEY, Maria, Miss",1865-1957,Collected for Mueller in Vic.,notes,
"HENLEY, S.",,,,
"HENNE, Diedrich",1834-,Botanist,,
"HENNY, Alfred",,,,
"HENRY, Aim&#233;",1801-1875,"Artist, France, (never came to Aust.)",,
"HENRY, Lucien",1850-1896,"Art teacher, designer, France, NSW",notes,portrait
"HENRY, N.M.",,,,
"HENRY, Neil Buchanan",1927-,Forestry Research officer,,
"HENSHALL, Thomas Sharland*",1925-,"Orchardist, botanist",,portrait
"HENTY, Edward Ellis (Ted)",1915-2002,"Botanist, Forestry School lecturer in PNG",notes,portrait
"HERBERT, Desmond Andrew, Prof.",1898-1976,"Professor, botanist, writer, WA, Philippines, Qld",notes,portrait
"HERBST, Rafael, Dr",fl. 1970-85,"Palaeobotanist, geologist",,
HEREDAY,fl. 1850s,,,
"HERGOTT [HERRGOTT], Joseph Albert Franz David",1823-1861,"Botanist, artist, expedition naturalist, SA, Vic",notes,
"HERON, W.",fl. 1898-1910,,,
"HESTER, Frances Theodosia (later Mrs HEPPINGSTONE)",1850-1913,Collected for Mueller in WA,notes,
"HETLEY, C., Mrs",fl. 1890s,Illustrator,,
"HEUZENROEDER, Heinrich",1820-1898,,,
"HEWSON, Helen Joan, Dr*",1938-2007,"Botanist, illustrator, Canberra",notes,portrait
"HEYLAND, Jean Christoph",1792-1866,"Botanical artist, Paris (not Aust.)",notes,
"HEYNE, Ernest Bernhard",1825-1881,"Botanist, horticulturalist, Vic, SA.",notes,portrait
"HEYSEN, Wilhelm Ernst Hans Franz (known as Hans)",1877-1968,"Prodigious  landscape artist, especially eucalypts, SA",notes,portrait
"HICKEY, Edwin",,,,
"HICKMAN, Ellen J.",1968-,"Botanical artist, childrens' book illustrator, WA, Vict",,
"HICKS, Alexander John*",1918-,Agriculturalist,,
"HICKS, John*",fl. 1970-90,"Forester, parks manager, Gardens director, NT, ACT",notes,portrait
"HIGGINSON, Ralph",fl. 1950-70,Plantsman,,
"HILL, Arthur William, Sir",1875-1941,"Botanist, Gardens Director",,
"HILL, Dorothy, Prof.",1907-,Palaeontologist,,
"HILL, Dr",,,,
"HILL, Edward Smith",?1819-1880,,,
"HILL, F.L.",fl. 1950s,British public servant,,
"HILL, G.J.",fl. 1911,,,
"HILL, Gerald Freer",1880-1954,"Naturalist, entomologist",notes,
"HILL, H.E.",,,,
"HILL, Kenneth D.",1948-2010,"Cycad and eucalypt specialist, NSW Herbarium",notes,portrait
"HILL, Robert S., Dr",1954-,Palaeobotanist,notes,
"HILL, Ronald(Ron)",1928-1974,"Horticulturalist, painter, photographer, SA",notes,portrait
"HILL, Walter",1820-1904,"Colonial Botanist, Gardens Director, explorer",notes,
"HILLEBRAND, Wilhelm (William) B., Dr",1821-1886,"Physician, surgeon, lichen collector",notes,
"HILLIER, Angela M., Mrs",,Illustrator,,
"HILTON, Frank M.",fl. 1950s,Botanist,,
"HILTON, Roger Norman*",1927-,Mycologist,,
"HIND, Peter David",1947-,"Horticulturist, botanical assistant",,portrait
"HINDMARSH, Mary",1817-1880?,? Wildflower painter,,
"HINDS, Richard Brinsley",c.1811-c.1846,Surgeon,,
"HINTEROECKER [HINTEROCKE, HINTERAECKER], John Nepomucenus, Rev. Father",1820-1872,"Jesuit missionary, botanist",,
"HIRSCHFELD, Eugen, Dr",,Botanist,,
"HITINGNUC, Semeri",fl. 1970s,"Botanical illustrator, Aust., PNG",,
"HNATIUK, Roger James Dr*",1946-,"Botanist, ecologist, bonsai enthusiast, WA, ACT",notes,portrait
"HOARE, James (Jamie)",fl. 1970-80s,"Fire ecologist, CSIRO Forest Research, ACT",,
"HOBSON, Edmund Charles, Dr",1814-1848,"Naturalist, biologist",,
"HOBSON, F.N.",,,,
"HOCHSTETTER, Christian Gottlieb Ferdinand (Ritter) von",1829-1884,"Geologist, naturalist, explorer, NSW, NZ",notes,portrait
"HOCKINGS, Francis David",1928-2017,"Horticulturist, nurseryman, author, photographer, Qld",notes,portrait
"HODGE, Leomin (Leo)",1904-1994,"Naturalist, plant breeder, Gippsland, Vic",notes,portrait
"HODGE, M.W.(Merv)",fl. 1960s-90s,"Photographer, plant breeder",,portrait
"HODGKINSON, A.",fl. 1800's,,,
"HODGKINSON, Clement",1818-1893,Head of Victoria's Crown Lands &amp; Survey Dept,,portrait
"HODGKINSON, J.",fl. c.1874,,,
"HODGKINSON, Mary H., Mrs(nee MARSHALL)",1824-1889,Collected plants for Mueller in NSW,notes,
"HODGKINSON, Virginia Nina (later Mrs SEYMOUR)",1850-1888,Collected plants for Mueller in NSW,notes,
"HODGSON, Christopher Pemberton",1821-1865,"Explorer, writer",,
"HODGSON, Edward M., Dr",fl. 1960-85,Palynologist,,
"HODGSON, Margaret",fl. 1970s,Botanical artist,,
"HOEK, Chris van den, Prof.",fl. 1984,"Botanist, phycologist",,
HOGSTON,,,,
"HOLDEN, Samuel",fl. 1836-1889,"Botanical artist, London, UK",notes,
"HOLDING, Charlotte Elizabeth, Mrs(nee ROWAND)",1828-1916,Collected plants for Mueller in NSW,notes,
"HOLDING, Lucy Edith (later Mrs WHITFIELD)",1873-1919,Collected plants for Mueller in NSW,notes,
"HOLDSWORTH, J.",,,,
"HOLFORD, I.C.R.",fl.. 1950s,,,
"HOLLIDAY, Ivan Grenfell",1926-2010,"Photographer, native plant grower, author, based in SA",notes,portrait
"HOLLOWAY, Mrs",,,,
"HOLMES, G.E., Rev.",,,,
"HOLMES, W.B. Keith",,,,
"HOLST, Nils Olof",1846-1918,,,
"HOLT, F.T.",,,,
"HOLTZE, Maurice Waldemar [William]",1840-1923,"Gardens curator, NT, SA",notes,portrait
"HOLTZE, Nicholas",1868-1913,"Gardens curator, SA, NT",notes,portrait
"HOMBRON, M., Dr",fl. 1839,"Surgeon, botanist",,
"HOME, James Everard, Sir",1798-?1852,"Naval captain, botanist",,
"HOOD, Jessie Ann, Miss",1845-1915,"Collected plants for Mueller in NSW, Qld",notes,
"HOOD, John A.",fl. 1870-86,Senator,,
"HOOGLAND, Ruurd Dirk, Dr",1922-1994,Botanist with CSIRO Canberra,notes,
"HOOKER, Joseph Dalton, Sir",1817-1911,"Gardens Director UK, cryptogamist, explorer, botanist, Tas, NSW",notes,portrait
"HOOKER, William",1779-1832,Botanical artist UK (not Aust.),notes,
"HOOKER, William Jackson",1785-1865,"Botanist, botanical artist UK (not Aust.)",notes,portrait
"HOPE, Margaret Anderson",1848-1934,"Botanical artist, craft-worker, Tasmania",notes,portrait
"HOPKINS, Angas John Malcolm",1948--,Ecologist,,portrait
"HOPKINS, Harry",1857-1929,"Carpenter, public servant, plant collector, Vic.",notes,
"HOPKINS, J.M.",1870-,Politician,,
"HOPPER, Stephen Donald, Dr*",1951--,Botanist,,portrait
"HOPSON, John",-1928,"Naturalist, farmer",,
"HOPWOOD, Henry",1813-1869,"Murray River businessman, plant collector, Vic.",notes,portrait
"HORNSBY, P.",fl. 1980s,,,
"HORTON, H.P.",fl. 1980s,Botanist,,
"HOS, Dirk",fl. 1980,Palynologist,,
"HOSKING, J.R. Dr",fl.1980-2015,"Botanist, NSW Agriculture Dept, Tamworth, NSW",,
"HOSSFELD, Paul Samuel, Dr",1895-1967,"Geologist, SA",notes,portrait
"HOTCHKISS, Ronald",fl. 1960s-90s,"Photographer, Aust. National Botanic Gardens, ACT",,
"HOUSE, A.P.N.",,Photographer,,
"HOUSE, Frederick Maurice, Dr",1865-1936,"Medical officer, naturalist",notes,
"HOWARD, Truda M., Dr",fl. 1970s,"Botanist, ecologist",,
"HOWE, Fred",1948-,"Horticulturist, garden manager",notes,portrait
"HOWIE, Laurence Hotham",1876-1963,"Artist, craftsman, South Australia",notes,portrait
"HOWIE, Malcolm Ian",1900-1936,"Botanical artist, esp. fungi, brother-in-law of Jim Willis,  Vic.",notes,
"HOWITT, Alfred William",1830-1908,"Explorer, botanist, ethnologist, geologist, magistrate",notes,portrait
"HOWITT, Godfrey, Dr",1800-1873,"Physician, botanist, entomologist",,portrait
"HOWITT, Mary, Mrs",1797-1888,,,
"HUBBARD, Charles Edward",1900-1980,"Botanist, mostly UK, Kew",notes,
"HUBER, Christine, Miss",fl. 1980s,Illustrator,,
"HUBERT, Francois",1744-1809,Botanical engraver,notes,
HUCHINGER,,,,
"HUEBER, Francis, Dr",fl. 1950-85,Palaeobotanist,,
"HUELL, Quirijn Maurits Rudolph ver",1787-1860,Botanical lithographer,notes,portrait
"HUGEL [HUEGEL], Karl [Carl] Alexander Anselm Freiherr von, Baron",1795-1870,"Traveller, diplomat, artist",notes,
"HUGHAN, Allan",c.1837-1883,Grazier near Swan Hill,,portrait
"HUGHES, Annie",fl. 2000s,Botanical illustrator,notes,portrait
"HUGHES, R.",fl. 1986,Engraver for modern publication of Florilegium,notes,
"HUGHES, W.W.",fl. 1872-73,Patron,,
"HUISMAN, John M.",c. 1990s,"Botanist, phycologist, WA",,portrait
"HULL, A.C., see HULLS",,,,
"HULLS [HULL, HULSE], A.C.",fl. 1868-83,,,
"HULSBERG, Henry",fl. 1692-1716,Botanical engraver,notes,
"HULSE, A.C., see HULLS",,,,
"HUMPHREYS, Frederick William (Fred)",1907-1967,"Public servant, flower photographer, WA",notes,
"HUNT, D.",fl. 1960s,,,
"HUNT, Trevor Edgar",1913-1970,"Teacher, musician, orchidologist, artist, Qld",notes,portrait
"HUNTER, John, Vice Admiral",1737-1821,"Naval Officer, Governor, artist",notes,portrait
"HUNTER, Stanley Burton",fl.1900-20,"Engineer for boring, geologist",,
"HUNTER, William",1893-1971,Surveyor,notes,
"HUNTLEY, R.H.",fl. 1860s,,,
"HUNZIKER, Gertrud",,,,
"HURST, Henry",,,,
"HURSTHOUSE, E.W.",fl. 1905,,,
"HUSSEY, Jessie Louisa, Miss",1862-1899,"Naturalist, algae collector in SA",notes,
"HUTCHINSON, S.W.",fl. 1930s,,,
"HUTTON, G.",,,,
"HWANG, Yee H. (Robin)",fl. 1980s,Taiwanese Casuarinaceae postgraduate student,,portrait
"HYAM, George Neville",1886-1958,"Naturalist, horticulturist",,
"HYETT, Jack",fl. 1960s-80s,"Author, naturalist",,
"HYLAND, Bernard Patrick Matthew*",1937-,"Forester, botanist",,portrait
"HYND, David John",1937-,Forester,notes,
"HYNES, Sarah B.",1859-1938,"Botany teacher, botanical assistant",,
"INCE, Walter Holinshed, Dr",c.1865-1907,Pharmaceutical chemist,,
INGLIS,,,,
"INGRAM, Barry",fl. 1980,Palynologist,,
"INGRAM, Cyril Keith",1912-2002,"School Inspector, botanist, writer",notes,portrait
"INGWERSEN, Francis (Frank)",,"Botanist, ecologist based in Canberra",,portrait
"INNES, Annabella Alexandra Campbell",1826-1916,"Wildflower painter, diarist",notes,
"IRBY, Llewellyn George",1883-1964,"Forester, farmer",,
"IRVINE, Anthony Kyle*",1937-,"Forest botanist, biologist",,
"IRVINE, Jemima Frances, Mrs, [nee BURN]",1822-1919,"Conchologist, artist, collected for Mueller",notes,portrait
"ISAAC, Golda, Mrs*",1925-,"Botanist, pteridologist",,
"ISAACSON, R.",,Botanist,,
"ISBELL, R.F.",,,,
"ISING, Ernest Horace",1884-1973,"Railways clerk, botanist, lay preacher",notes,portrait
"IVES, R.G.",fl. 1890,,,
"IWAGU, Taikika",fl. 1970s,"Botanical illustrator, Aust, PNG",notes,
"JACKES, Betsy Rivers, Dr, nee PATERSON*",1935-,Botanist,,portrait
"JACKES, Edward Michael*",1935-,Air traffic controller,,
"JACKSON, Eric N.S.",fl. 1960-80s,"Botanist, State Herbarium of Sth Aust.",,portrait
"JACKSON, G.K.",fl. 1960s,,,
"JACKSON, Garth",,"Postmaster, ornithologist",,
"JACKSON, Ida, Mrs*",1922-,"Author, amateur botanist",,
"JACKSON, Mary Anne, nee WILLETT",1851-1916,Collected for Mueller in Tas.,notes,
"JACKSON, Sydney William",1873--1946,Ornithological collector,,portrait
"JACKSON, William D., Prof.",,Botanist,,
JACOB,fl. 1840,,,
"JACOBS, Maxwell Ralph, Dr",1905-1979,"Director-General of Forestry, author, research botanist",notes,portrait
"JACOBS, Surrey Wilfrid Laurance, Dr",1946-2009,"Botanist, author",notes,portrait
"JACQUINOT, Honore",1814-?,Naval captain,,
"JAEGERMANN, Vilja*",1929-,Botanical assistant,,
"JAGGARD, William N.",1862-?,"School teacher, plant collector Qld.",notes,
JAHERI,1857-?,Indonesian plant collector,,
"JAKOBSON, Kamilla (Camilla), Mrs*",1918-,"Agricultural scientist, botanical artist",,
"JAMES, A.M.",fl. 1960s,,,
"JAMES, A.V.G., Dr",fl. 1920,Palaeontologist,,
"JAMES, C.R.",fl. 1900s,,,
"JAMES, Peter W.*",1930-,Lichenologist,,
"JAMES, Sidney Herbert",1933-,"Botanist, geneticist",,
"JAMES, Teresa Ann",1956–2019,"Identification Officer (Lichens [NSW]), author, botanical consultant",,
"JAMIESON, S.",,Lichen collector,,
"JARMAN, A.E. (Emmie)",fl. 1927,Botanical artist,,
"JARRETT, Phyllis H.",fl. 1929,Ecologist,,
"JEANNERETT, Henry, Dr",1802-1886,"Surgeon, algae collector",,
"JEFFERlES, Phillip Reid, Prof.",1927-,Plant chemist,,
"JEFFERSON, E. Mrs",fl.1869-80,"Collected for Mueller at Fernshaw and the Upper Yarra, Vic.",,
"JELINEK or JELLINEK, Anton",fl. 1857-1859,"Botanist and gardener, Novara expedition",,
"JELL, Peter Alexander, Dr",1947-,Palaeontologist,,
"JENKINS, C.",,,,
"JENSEN, Harald Ingemann, Dr",1879--1966,"Government geologist, writer",notes,
"JEPHCOTT, Edwin",1823-1911,Pastoralist,,
"JEPHCOTT, Sydney Wheeler",1864-1951,"Pastoralist, writer",notes,
JEPHEATH,,,,
"JERMY, Anthony Clive*",1932-,"Botanist, pteridologist, UK, PNG",,portrait
"JESSEP, Alexander William",1892-1991,"Teacher, Gardens Director, Vict.",notes,
"JESSOP, John Peter, Dr*",1939-,Botanist,,portrait
"JESSUP, Laurence Woodward*",1947-,Botanist,,
"JESSUP, Rupert W.",fl. 1940s-50s,Ecologist,,
"JOBSON, Peter Craig",1965-,"Botanist, herbarium collector",,
"JOHANSEN, H. William, Prof.*",1932-,"Botanist, phycologist",,
"JOHNCOCK, Charles F.",fl. early 1900s,Botanist,,
"JOHNS, Charles W.",fl. 1938,,,
"JOHNS, Robert James",1944-2019,"NZ born botanist, mostly worked in PNG, later Kew, UK",notes,
"JOHNSON, Howard Angas (&quot;Bill&quot;)",1907-1990,"Surveyor, plant collector",,
"JOHNSON, J.",fl. 1960s,,,
"JOHNSON, Lawrence Alexander Sidney, Dr",1925 - 1997,"Botanist, biosystematist, author, eucalypt specialist, Gardens Director",notes,portrait
"JOHNSON, Robert William, Dr",1930-2012,"Botanist, Director of the Queensland Herbarium 1976-90",notes,portrait
"JOHNSON, Sidney",fl. 1880-90s,,,
"JOHNSON, Stephen",fl. 1877-92,,,
"JOHNSTON, Harry F.",fl. 1884,Surveyor,,
"JOHNSTON, J. Forster",,,,
"JOHNSTON, Jen",1954-,"Lichen taxonomist, ANU Canberra",,
"JOHNSTON, Maria Louisa (Minnie), nee BUTCHER",1856-1921,Collected for Mueller in WA,notes,
"JOHNSTON, R.H.",,,,
"JOHNSTON, Robert Douglas, Dr",1925-,"Botanist, eucalyptologist",notes,portrait
"JOHNSTON, Robert Mackenzie",1844-1918,"Railway clerk, geologist palaeobotanist, Government statistician",notes,
"JOHNSTON, T. Harvey",-1951,Zoological naturalist,,
"JOHNSTONE, Richard L.",1955-,Collector for the Royal Botanic Gardens Sydney,,portrait
"JOHNSTONE, Robert",fl. 1870s,,,
"JOLLY, Norman William",1882-1954,,,
"JONCHEERE, G.J. de see DE JONCHEERE",,,,
"JONES, Barbara",fl. 1970s,"Horticulturist, of cryptogams",,
"JONES, David Lloyd",1944-,"Nurseryman, orchidologist, author",notes,portrait
"JONES, O.A.",fl. 1950,,,
"JONES, Oliver Llewellyn",1848/9-1933,Policeman,,
"JONES, Oliver Llewellyn",1948-,Orchidologist,,
"JONES, Paul",1921-1997,"Botanical artist, often using romantically idealised backgrounds",,
"JONES, William Thomas",1908-1970,"Senior Officer, plasterer",,
"JORDAN, M. Miss",fl.1894,"Collected for Mueller at Queenscliff, Vic.",,
"JORDEN, Elizabeth [Beth], Miss",fl. 1982,Illustrator,,
"JOSEPHSON, Th.",fl. 1884,,,
"JOSHUA, John",fl. 1950s-60s,Photographer,,
JOYCE,fl. 1840s,,,
"JUDD, Howard",fl. 1960s-70s,,,
"JUKES, Joseph Beete",1811-1869,Geological surveyor,,
"JULIUS, George Alfred, Sir",1873-1946,Wood technologist,,
"JUTSON, John Thomas, Dr",1874-1959,"Lawyer, geologist",,
"KAJEWSKI, S. Frank",fl. 1920s,,,
"KALESKI, L.J.",fl. 1930s,,,
"KANIS, Andries [Andrew], Dr*",1934-1986,Herbarium botanist with CSIRO Canberra,notes,portrait
"KANTVILAS, Gintaras",1956-,"Herbarium botanist, lichen specialist, Tas",,
"KARRFALT, Eric",fl. 1980,Palaeobotanist,,
KARSTEN,,,,
"KARTZOFF, Michael Eugene",1908-1987,"Forester, seed collector, alderman, NSW",notes,portrait
"KASPIEW, Boris Fedorovich",1886-1964,"Amateur botanist, commercial collector",notes,portrait
"KAY, Cyril B.",,Electrical engineer,,
"KAYSER, Friedrich",-1877,Lichenologist,,
"KAYSER, Heinrich Wilhem Ferdinand",1833-1919,Mining engineer,,
"KEANE, P.J.",,"Botanist, University lecturer",,
"KEARTLAND, George Arthur",1848-1926,"Zoologist, botanist",,
"KEBLE, Alexander Robert",1884-1963,Palaeontologist,,
"KEEFER, G.D.",,,,
"KEIGHERY, Gregory John*",1950-,"Botanist, biologist",,portrait
"KEILLER, It.J.",,,,
KELLERMAN,,,,
"KELLY, Mrs",fl.1892,"Collected  at
      'Caiwarro Station', and Paroo River, Qld",,
"KELLY, R.",fl. 1913,,,
"KELLY, Stanley",1911-2001,"Engine driver, eucalypt illustrator, author",notes,portrait
"KELSO, Edmund Gabriel",c.1864-1950,Forest officer,,
"KEMP, Elizabeth M., Dr",fl. 1960-85,"Palynologist, palaeobotanist",,
"KEMPE, Friedrich Adolf Hermann, Rev.",1844-1928/9,"Missionary, botanist",notes,
"KEMSLEY, Douglas Sinclair",-1984,"Teacher, metallurgist",,
"KENDALL, R.J.",fl. 1860,,,
"KENDER, F.M.",fl. 1909,,,
"KENLEY, Peter Roland",1927-,"Geologist, Director of Geological Survey",,
"KENNEALLY, Kevin Francis",1945-,"Botanist, biogeographer, WA",,portrait
"KENNEDY, Donald Cameron",1878-,Forrester,notes,
"KENNEDY, Edith Mary, or Effie Isabel",1867-,Collected for Mueller in NSW,notes,
"KENNEDY, Edmund Besley Court",1818-1848,"Surveyor, explorer",notes,portrait
"KENNEDY, Frank H.",,,,
"KENNEDY, J.H.",fl. 1930s-60s,,,
"KENNEDY, Jan",fl. 1960s,Botanical illustrator,notes,
"KENNEDY, Mary Bozzam Mrs, nee HUME",1838-1915,Collected for Mueller in NSW,notes,
"KENNEDY, Robert Henry (husband of Mary Bozzam above)",1826-1895,Collected for Joseph Maiden in NSW,,
"KENNION, Edward",1744-1809,Botanical artist,notes,
"KENNY, F.A.",fl. 1910-22,,,
"KENNY, Frederick Hamilton",1859-1927,"Medical doctor, surgeon, naturalist",notes,portrait
"KENNY, Margaret, nee LILLYWHITE",1909-1976,"Botanical Assistant, S.A. Museum",notes,
"KENTISH, Martha Elizabeth (Mattie), later Mrs MANN",1876-1957,Collected for Mueller in Vic.,notes,
"KERR, Lesley Ruth",1900-1927,Botanist,notes,
"KERSHAW, A. Peter, Dr",,Palynologist,,
"KERSHAW, James A",1866-1946,"Museum Director, naturalist",,
"KESSELL, A.",fl. 1960s,,,
"KESTEVEN, Hereward Leighton, Dr",fl. 1920s-40s,"Medical practitioner orchidologist, ornithologist",,portrait
"KEYS, James",1841-1916,"School teacher, plant collector",notes,portrait
KEYSER,11. 18905,,,
"KIDD, James",1800-1867,Garden overseer,notes,portrait
"KILBURN, William",1745-1818,Botanical artist,notes,
"KILNER, F.",fl. 1869,Phycologist,,
"KING, A.",fl. 1887,,,
"KING, Charles",1875-1955,Miner,,
"KING, Charles Denison (Deny)",1909-1991,"Miner, naturalist, bushwalker",notes,
"KING, Copland, Rev.",1863-1918,"Missionary, Anglican priest",,
"KING, Ethel Anna",1879-1939,Lithographer,notes,
"KING, George, Sir",1840-1909,,,
"KING, Georgina, Miss",1845-1932,Collected for Mueller in NSW,notes,portrait
"KING, Henry",1827-1913,"Nurseryman, vineyard inspector, sexton",,
"KING, Henry Sandford",1862-1930,Surveyor,,
"KING, Herbert J.",fl. 1960s,"Photographer, orchidologist",,
"KING, J.M.",fl. 1960s,"Writer, orchidologist",,
"KING, John Henry",1865-1957,"Sawmiller, estate agent",notes,
"KING, Phillip Gidley",1758-1808,Governor,,
"KING, Phillip Parker",1793-1856,"Rear-Admiral, explorer",notes,portrait
"KING, William H.",fl. 1960s,Author,,
